fish,stage,day,mean_y,median_y,std_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_σ_μ_y,median_σ_μ_y,mean_σ_μ_hdi_3,median_σ_μ_hdi_3,mean_σ_μ_hdi_97,median_σ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday,μ_hdi_3_gamma_medians,μ_hdi_97_gamma_medians,μ_hdi_3_gamma_means,μ_hdi_97_gamma_means,y_gamma_means,y_gamma_medians
3.0,Baseline,1.0,5.384138352482489,4.972727874141006,2.5403743537251575,6.279166666666666,6.33,4.890333333333333,4.916,7.6345,7.718,2.996,3.038,1.42,1.427,4.737166666666667,4.815,5.851,5.58,2.731833333333333,2.6995,9.018166666666668,8.6715,7.0296666666666665,6.752000000000001,1.2941666666666667,1.2195,13.015666666666666,12.746500000000001,1,5.1726971702202125,9.270475178900027,5.145841710611963,9.1566221058898,6.060390462157381,5.688890883701547
3.0,Baseline,2.0,9.135472410074486,8.864063865908742,3.1272037162030104,5.979166666666667,6.025,4.739333333333334,4.762,7.149,7.217,2.748666666666667,2.786,1.369,1.385,4.269833333333334,4.348,7.5715,7.5184999999999995,3.6755,3.716,11.5615,11.053,8.689666666666668,8.5615,2.398,2.4295,15.294833333333335,15.1615,2,5.011564974221249,8.5878473122395,4.9845514891278135,8.487635259228682,9.782656313199002,9.527577662751032
3.0,Baseline,3.0,8.268945744906956,9.499171554083151,3.353644069527512,5.708666666666667,5.75,4.600333333333334,4.626,6.7435,6.809,2.528333333333333,2.562,1.2876666666666665,1.289,3.8225,3.879,6.978000000000001,7.619,3.234166666666667,3.529,10.6195,11.5135,8.121166666666666,8.710999999999999,1.6776666666666669,1.7959999999999998,14.358166666666667,14.963000000000001,3,4.849738926625238,7.987741187491534,4.824730037441327,7.901183864193125,9.064791937643623,10.211145239484232
3.0,Baseline,4.0,7.542760491292817,6.857486149718322,4.762930654504179,5.464666666666666,5.502,4.456833333333334,4.472,6.3694999999999995,6.416,2.329833333333333,2.36,1.2655,1.281,3.480166666666667,3.54,6.156,6.2095,2.7195,2.9305,9.818833333333332,9.3645,7.478666666666666,7.301,1.5281666666666667,1.587,14.112500000000002,13.4265,4,4.699787644302684,7.468752715994866,4.680148311123063,7.397582357076888,9.09024994238161,8.498006512017657
3.0,Baseline,5.0,6.590276037902023,5.382865576810261,4.18440479040563,5.244333333333333,5.278,4.365333333333333,4.381,6.095333333333333,6.137,2.1519999999999997,2.179,1.1843333333333332,1.188,3.1385,3.181,5.7011666666666665,5.356,2.642333333333333,2.6029999999999998,8.890666666666666,8.031,6.962666666666667,6.594,1.3541666666666667,1.3225,13.156666666666666,12.4545,5,4.582334825927302,7.042990456169904,4.566133791954231,6.985052877825604,7.954513120674697,6.920322204243895
3.0,Baseline,6.0,8.865414418457831,7.237625666104634,5.798823429448401,5.0455,5.076,4.260666666666666,4.287,5.835666666666666,5.887,1.9926666666666666,2.017,1.16,1.166,2.8898333333333337,2.926,6.006,5.9835,2.6808333333333336,2.8209999999999997,9.901166666666667,9.0525,7.4435,7.089,1.1396666666666666,1.206,14.137166666666666,12.747499999999999,6,4.485129710766945,6.6958981173548855,4.457951172136102,6.6324590928603335,10.791349861830922,9.403759436941499
3.0,Baseline,7.0,10.010438897022848,10.50328366021891,2.1275566342170253,4.8655,4.893,4.1113333333333335,4.129,5.543333333333333,5.579,1.8491666666666668,1.871,1.119,1.13,2.674666666666667,2.709,6.492,6.640499999999999,2.9179999999999997,2.8855,10.371,10.771,7.885166666666667,8.1315,1.5051666666666668,1.4735,14.459166666666667,14.986,7,4.322062990910204,6.31541789057715,4.301593453139927,6.267077170556353,10.299741341711666,10.77999560128601
3.0,Baseline,8.0,6.469356621983562,6.203311584017101,2.6299229353528424,4.703,4.728,4.008666666666667,4.023,5.337,5.365,1.7203333333333333,1.74,1.047,1.064,2.4643333333333337,2.503,5.353666666666666,5.3595,2.6968333333333336,2.696,8.198833333333333,7.8955,6.618166666666667,6.5375,1.1875,1.24,12.453833333333334,12.276,8,4.199376614476449,6.025798163035455,4.180302653059343,5.982630764465822,7.094600713150176,6.849261745697756
3.0,Baseline,9.0,6.491423639553517,6.332679813718479,1.6567106669960177,4.5553333333333335,4.578,3.923,3.937,5.1715,5.197,1.6043333333333336,1.622,0.9525,0.962,2.2448333333333332,2.271,5.288833333333334,5.274,2.64,2.5885,7.963333333333334,7.822,6.502166666666667,6.422000000000001,1.1079999999999999,1.0815000000000001,12.148333333333333,11.877500000000001,9,4.085566215385624,5.767853173430579,4.0692574261492105,5.73291897116351,6.757468567122342,6.604662976878587
3.0,Baseline,10.0,8.263621379282442,8.18998053255341,1.8594287665571563,4.4215,4.442,3.8388333333333335,3.853,5.018833333333333,5.044,1.5,1.516,0.895,0.905,2.09,2.114,5.4671666666666665,5.5175,2.669166666666667,2.7110000000000003,8.513166666666667,8.634,6.851666666666667,6.934,0.9828333333333333,0.9924999999999999,12.815666666666667,13.067,10,3.987855713627529,5.558651471277356,3.971302043180444,5.525121823540575,8.530070893747707,8.45861851324304
