fish,stage,day,mean_y,median_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday
3.0,Baseline,1.0,1.285108326079107,1.1039269676053172,-0.5971666666666666,-0.584,-2.1863333333333332,-2.232,1.3048333333333335,1.437,0.2711666666666667,0.1735,-3.1635000000000004,-3.101,3.5863333333333336,3.5545,0.24683333333333335,0.1645,-6.441166666666667,-6.423,6.854500000000001,6.758,1
3.0,Baseline,2.0,-0.1654561415628161,0.16771992268182578,-0.6696666666666666,-0.663,-1.9221666666666666,-1.958,0.5743333333333334,0.644,-0.628,-0.424,-4.202166666666667,-3.51,2.8088333333333337,2.2755,-0.6350000000000001,-0.441,-8.431166666666668,-8.4855,6.808166666666666,6.0695,2
3.0,Baseline,3.0,-2.1204977514376853,-1.228781453648808,-0.7065,-0.703,-1.7023333333333335,-1.743,0.1955,0.226,-0.9725,-0.829,-3.951166666666667,-3.4955,1.6704999999999999,1.546,-0.9476666666666667,-0.7735,-7.664833333333333,-6.797499999999999,5.9615,5.7895,3
3.0,Baseline,4.0,-0.42391150588916177,-0.3802591394124692,-0.7254999999999999,-0.724,-1.476,-1.499,0.01683333333333333,0.043,-0.6441666666666667,-0.6005,-2.7741666666666664,-2.7794999999999996,1.5345000000000002,1.5645,-0.653,-0.5895,-6.509,-6.4765,4.937166666666666,5.0985,4
3.0,Baseline,5.0,-0.69608745575438,-0.3339217056320579,-0.7334999999999999,-0.733,-1.3445,-1.361,-0.13333333333333333,-0.114,-0.6803333333333333,-0.607,-2.7415000000000003,-2.5285,1.3496666666666666,1.2974999999999999,-0.6565,-0.5914999999999999,-6.869166666666666,-6.6915,5.2571666666666665,5.0765,5
3.0,Baseline,6.0,-2.40119366389512,-1.595171728876713,-0.7361666666666666,-0.736,-1.2486666666666666,-1.262,-0.23700000000000002,-0.23,-0.8223333333333334,-0.815,-2.8076666666666665,-2.7104999999999997,1.0,0.9415,-0.816,-0.814,-7.150166666666666,-6.9025,5.698,5.145,6
3.0,Baseline,7.0,-5.0627339449815265,-5.615062549103336,-0.7366666666666667,-0.737,-1.1773333333333333,-1.182,-0.2796666666666667,-0.272,-0.9991666666666666,-1.0945,-2.9021666666666666,-3.034,0.6846666666666666,0.634,-1.0078333333333334,-1.067,-8.211833333333333,-8.443000000000001,6.3135,6.2,7
3.0,Baseline,8.0,-0.5595341292972204,-0.9041823922115083,-0.7346666666666666,-0.735,-1.1501666666666666,-1.154,-0.3223333333333333,-0.318,-0.7371666666666666,-0.7415,-2.2253333333333334,-2.2279999999999998,0.8188333333333334,0.7965,-0.7356666666666666,-0.757,-6.840166666666666,-6.6445,5.438166666666667,5.467,8
3.0,Baseline,9.0,-1.087747027519304,-1.5923930242139308,-0.7324999999999999,-0.733,-1.1276666666666666,-1.131,-0.3455,-0.344,-0.7665000000000001,-0.8260000000000001,-2.1333333333333333,-2.0865,0.5763333333333334,0.479,-0.761,-0.8025,-6.302499999999999,-6.4475,4.998,4.965999999999999,9
3.0,Baseline,10.0,-2.7720763004341857,-2.0688410915314757,-0.7294999999999999,-0.73,-1.1101666666666665,-1.111,-0.35333333333333333,-0.353,-0.8538333333333333,-0.8534999999999999,-2.1906666666666665,-2.193,0.3466666666666667,0.366,-0.87,-0.857,-6.606333333333333,-6.2364999999999995,5.189166666666666,5.05,10
3.0,Baseline,11.0,-3.661437787471692,-1.5131983731284198,-0.7265,-0.727,-1.1035000000000001,-1.106,-0.3518333333333333,-0.355,-0.7451666666666666,-0.7565,-2.015166666666667,-1.9985,0.408,0.406,-0.7378333333333332,-0.7355,-8.033166666666666,-6.9085,6.266500000000001,5.21,11
3.0,Baseline,12.0,-0.9756352974054776,-0.7035875068139302,-0.7236666666666666,-0.724,-1.0926666666666667,-1.091,-0.3378333333333334,-0.336,-0.7386666666666667,-0.7204999999999999,-1.8390000000000002,-1.759,0.3618333333333333,0.348,-0.743,-0.7424999999999999,-6.138166666666667,-6.127000000000001,4.5275,4.4325,12
3.0,Baseline,13.0,-1.7447909762177571,-2.0547724057257,-0.7216666666666667,-0.722,-1.1013333333333333,-1.101,-0.3463333333333333,-0.347,-0.7606666666666667,-0.8115,-1.8775000000000002,-1.8864999999999998,0.2911666666666667,0.2565,-0.7788333333333334,-0.7765,-6.9695,-6.8695,5.448,5.496,13
3.0,Baseline,14.0,-1.8458597782737385,-0.8758922239400502,-0.7196666666666666,-0.72,-1.1039999999999999,-1.103,-0.3428333333333334,-0.343,-0.7463333333333333,-0.728,-1.8036666666666665,-1.788,0.26866666666666666,0.269,-0.7520000000000001,-0.7464999999999999,-6.398,-6.116,4.952,4.422000000000001,14
3.0,Baseline,15.0,-1.0617673093634437,-0.5534240114183082,-0.7176666666666667,-0.718,-1.109,-1.109,-0.3411666666666667,-0.342,-0.7253333333333334,-0.7025,-1.7449999999999999,-1.6909999999999998,0.2675,0.244,-0.7178333333333334,-0.673,-6.176833333333334,-6.148,4.943666666666666,4.8255,15
