fish,stage,day,mean_y,median_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday
3.0,Baseline,1.0,5.06967664479074,4.337332234311798,4.629,4.629,3.526,3.526,5.72,5.72,6.768999999999999,6.327500000000001,4.072333333333333,3.9784999999999995,9.91,9.3765,6.729,6.314,-0.24716666666666667,-0.0875,13.862666666666668,13.728,1
3.0,Baseline,2.0,8.610452062293575,8.864063865908742,4.456,4.456,3.474,3.474,5.452000000000001,5.452,8.261000000000001,8.136,4.382833333333333,4.3675,11.829333333333333,11.557,8.235,8.0515,0.979,0.9305,15.186833333333333,14.668,2
3.0,Baseline,3.0,8.525744541476506,9.499171554083151,4.303,4.303,3.381,3.381,5.174,5.174,8.047333333333333,8.363,4.212833333333333,4.3085,11.6915,12.286999999999999,8.055333333333333,8.3935,0.959,1.202,15.361166666666668,15.8705,3
3.0,Baseline,4.0,5.969738728744271,5.587977848577355,4.169,4.169,3.3379999999999996,3.338,4.982,4.982,6.5136666666666665,6.0145,3.874,3.802,9.608666666666666,8.8885,6.5215,6.0329999999999995,-0.08833333333333332,-0.08299999999999999,13.128166666666667,12.242,4
3.0,Baseline,5.0,8.061292774166938,5.438409973233144,4.051,4.051,3.272,3.272,4.802,4.802,7.689166666666666,5.922000000000001,3.9203333333333332,3.617,11.124833333333333,8.702,7.703666666666666,5.916499999999999,0.2621666666666667,-0.095,14.81,12.475999999999999,5
3.0,Baseline,6.0,8.893025536797328,7.320459021123128,3.946,3.946,3.219,3.219,4.669,4.669,7.9143333333333326,6.5695,3.876333333333333,3.7395,11.543666666666667,9.515,7.889166666666667,6.529,-0.306,-0.22999999999999998,15.066666666666668,13.068000000000001,6
3.0,Baseline,7.0,9.117955421013832,9.74995495378953,3.8540000000000005,3.854,3.172,3.172,4.553,4.553,7.412,7.7385,3.7438333333333333,3.7874999999999996,10.995666666666667,11.518,7.375,7.697,-0.20133333333333334,-0.1515,14.355333333333334,14.743500000000001,7
3.0,Baseline,8.0,7.812753173913751,7.818728577802162,3.772,3.772,3.134,3.134,4.451,4.451,6.626,6.5,3.5493333333333332,3.4445,9.813333333333334,9.517,6.636166666666667,6.5485,-0.30550000000000005,-0.3255,13.495666666666667,13.223500000000001,8
3.0,Baseline,9.0,6.088868761349162,5.783011903782365,3.701,3.701,3.0819999999999994,3.082,4.349,4.349,5.6801666666666675,5.479,3.4406666666666665,3.4425,8.3185,8.0445,5.680833333333333,5.4805,-0.529,-0.5855,11.9375,11.587499999999999,9
3.0,Baseline,10.0,7.464127962798422,7.042448843403941,3.637,3.637,3.023,3.023,4.256,4.256,6.074333333333333,5.8815,3.438166666666667,3.4234999999999998,9.080833333333333,8.711,6.086666666666666,5.933,-0.7801666666666667,-0.845,12.404333333333334,12.084,10
