fish,stage,day,mean_y,median_y,mean_μ_μ_y,median_μ_μ_y,mean_μ_μ_hdi_3,median_μ_μ_hdi_3,mean_μ_μ_hdi_97,median_μ_μ_hdi_97,mean_μ_y,median_μ_y,mean_μ_hdi_3,median_μ_hdi_3,mean_μ_hdi_97,median_μ_hdi_97,mean_ppc_y,median_ppc_y,mean_ppc_hdi_3,median_ppc_hdi_3,mean_ppc_hdi_97,median_ppc_hdi_97,plotday
3.0,Baseline,1.0,1.0771958437617246,0.8257800133715644,-0.556,-0.556,-2.425,-2.425,1.333,1.333,0.20616666666666664,0.1165,-3.2165,-3.277,3.6754999999999995,3.5389999999999997,0.21,0.1525,-6.606333333333333,-6.7415,6.815166666666666,6.5645,1
3.0,Baseline,2.0,-0.40276189604040535,-0.4290626900548894,-0.651,-0.651,-2.094,-2.094,0.568,0.568,-0.6513333333333333,-0.5529999999999999,-4.273333333333333,-3.363,2.8366666666666664,2.393,-0.6829999999999999,-0.575,-7.9355,-7.4535,7.184,6.378,2
3.0,Baseline,3.0,-2.2815581567484826,-1.228781453648808,-0.701,-0.701,-1.785,-1.785,0.215,0.215,-0.9476666666666667,-0.823,-3.909666666666667,-3.335,1.756,1.566,-0.9456666666666665,-0.815,-7.4295,-6.5575,5.999333333333333,6.067,3
3.0,Baseline,4.0,-0.110049315318814,-0.3802591394124692,-0.727,-0.727,-1.519,-1.519,0.023000000000000003,0.023,-0.5853333333333334,-0.6085,-2.671666666666667,-2.6719999999999997,1.6676666666666666,1.4585,-0.5571666666666667,-0.576,-6.534666666666666,-6.4815000000000005,5.3421666666666665,5.18,4
3.0,Baseline,5.0,-0.7496152766854003,-0.3339217056320579,-0.741,-0.741,-1.3950000000000002,-1.395,-0.14,-0.14,-0.6873333333333332,-0.6405,-2.771333333333333,-2.614,1.3311666666666666,1.2334999999999998,-0.6575000000000001,-0.6140000000000001,-6.859333333333333,-6.5760000000000005,5.5008333333333335,5.349,5
3.0,Baseline,6.0,-1.6432243529717823,-0.009660569377624294,-0.747,-0.747,-1.32,-1.32,-0.267,-0.267,-0.7281666666666666,-0.596,-2.6291666666666664,-2.3615,1.0843333333333334,1.0010000000000001,-0.6975000000000001,-0.5489999999999999,-7.299333333333333,-6.731,5.685833333333334,5.6375,6
3.0,Baseline,7.0,-4.295861458436382,-5.020099137185005,-0.749,-0.749,-1.217,-1.217,-0.307,-0.307,-0.9976666666666668,-1.084,-2.8681666666666668,-2.9965,0.6643333333333333,0.6475,-0.9826666666666667,-1.048,-7.900333333333333,-7.958,6.060666666666666,6.091,7
3.0,Baseline,8.0,-1.9491708674625967,-2.767174432929589,-0.749,-0.749,-1.164,-1.164,-0.337,-0.337,-0.8261666666666666,-0.9605,-2.3651666666666666,-2.487,0.7141666666666667,0.521,-0.8121666666666667,-0.9625,-7.3069999999999995,-6.872,5.933666666666667,5.380000000000001,8
3.0,Baseline,9.0,-0.6340828557293664,-0.3271347964401509,-0.7479999999999999,-0.748,-1.156,-1.156,-0.38000000000000006,-0.38,-0.731,-0.7085,-2.119,-2.0515,0.6201666666666666,0.5855,-0.7248333333333333,-0.7395,-6.623833333333334,-6.4544999999999995,4.994666666666666,4.906000000000001,9
3.0,Baseline,10.0,-2.1337226789026333,-1.8586463722501618,-0.746,-0.746,-1.128,-1.128,-0.381,-0.381,-0.8535,-0.856,-2.126333333333333,-2.1159999999999997,0.34149999999999997,0.33699999999999997,-0.8516666666666667,-0.8745,-6.3765,-6.1315,4.8501666666666665,4.6955,10
3.0,Baseline,11.0,-4.739399732205892,-4.558795059747302,-0.7440000000000001,-0.744,-1.129,-1.129,-0.38400000000000006,-0.384,-0.809,-0.903,-2.106,-2.214,0.32966666666666666,0.2415,-0.8443333333333333,-0.8845,-8.515500000000001,-8.039,6.6885,6.011,11
